/**************************************************************************
 *** Layout File                                                        ***
 ***                                                                    ***
 *** This file is designed to provide the necessary information so      ***
 *** that NCES survey response data may be used in other statistical    ***
 *** software packages. This file provides variable names, locations,   ***
 *** and short descriptions for all selected variables. Additionally,   ***
 *** for categorical variables, this file also contains the response    ***
 *** codes and value label descriptions.                                ***
 ***                                                                    ***
 *** Full sample weights, replicate weights, and identification         ***
 *** numbers are added automatically to the list of variables selected  ***
 *** by the EDAT and are included here.                                 ***
 *************************************************************************/

/* ASCII Dataset File Name */
NELS_88_00_BYF4STU

/* Total Record Length */
11541

/* Variable Names, Locations, and Descriptions */
STU_ID    1-7           Student ID
F4UNIV1   8-11          Sample member status in all five waves
F4UNI2A   12-12         How sample member entered study
F4UNI2B   13-13         Base year status of sample member
F4UNI2C   14-14         First follow-up status of sample member
F4UNI2D   15-15         Second follow-up status of sample member
F4UNI2E   16-16         Third follow-up status of sample member
BYS2A     17-17         IS MOTHER/FEMALE GUARDIAN LIVING
BYS4A     18-18         MOTHER/FEMALE GUARDIAN EMPLOYMENT STATUS
BYS4OCC   19-20         MOTHER/FEMALE GUARDIAN^S OCCUPATION
BYS5A     21-21         IS FATHER/MALE GUARDIAN LIVING
BYS7A     22-22         FATHER/MALE GUARDIAN EMPLOYMENT STATUS
BYS7OCC   23-24         FATHER/MALE GUARDIAN^S OCCUPATION
BYS8A     25-25         R LIVES IN HOUSEHOLD WITH FATHER
BYS8B     26-26         R LIVES IN HH WITH OTHER MALE GUARDIAN
BYS8C     27-27         R LIVES IN HOUSEHOLD WITH MOTHER
BYS8D     28-28         R LIVES IN HH WITH OTHER FEMALE GUARDIAN
BYS8E     29-29         R LIVES IN HOUSEHOLD WITH BROTHER(S)
BYS8F     30-30         R LIVES IN HOUSEHOLD WITH SISTER(S)
BYS8G     31-31         R LIVES IN HOUSEHOLD WITH GRANDPARENT(S)
BYS8H     32-32         R LIVES IN HOUSEHOLD W/OTHER RELATIVE(S)
BYS8I     33-33         R LIVES IN HOUSEHOLD W/ NON-RELATIVE(S)
BYS12     34-34         SEX OF RESPONDENT
BYS14     35-35         SECTOR OF HIGH SCHOOL R PLANS TO ATTEND
BYS15     36-36         IS THERE ANOTHER H.S. R MAY ATTEND INSTD
BYS16     37-37         SECTOR OF 2ND CHOICE HIGH SCHOOL
BYS17     38-38         R SPEAK ANY LANG OTH THN ENGLISH BFR SCH
BYS18     39-40         1ST LANG R LEARNED TO SPEAK AS A CHILD
BYS19     41-42         OTHER LANG R SPOKE BEFORE STARTING SCHL
BYS20     43-44         LANGUAGE R USUALLY SPEAKS NOW
BYS21     45-45         ANY OTHER LANGUAGE SPOKEN IN R^S HOME
BYS22     46-47         LANG USUALLY SPOKN BY PEOPLE IN R^S HOME
BYS23     48-49         OTHER LANGUAGE SPOKEN IN R^S HOME
BYS24     50-51         LANG OTHER THN ENGLISH R USES MOST OFTEN
BYS25A    52-52         HOW WELL R UNDERSTANDS THAT LANGUAGE
BYS25B    53-53         HOW WELL R SPEAKS THAT LANGUAGE
BYS25C    54-54         HOW WELL R READS THAT LANGUAGE
BYS25D    55-55         HOW WELL R WRITES THAT LANGUAGE
BYS26A    56-56         HOW OFTEN R SPEAKS LANGUAGE TO MOTHER
BYS26B    57-57         HOW OFTEN R^S MOTHER SPEAKS LANG TO R
BYS26C    58-58         HOW OFTEN R SPEAKS LANGUAGE TO FATHER
BYS26D    59-59         HOW OFTEN R^S FATHER SPEAKS LANG TO R
BYS26E    60-60         HOW OFTEN PARENTS SPEAK LANG TO EACH OTH
BYS26F    61-61         HOW OFTEN GRANDPARENTS SPEAK LANG TO R
BYS26G    62-62         HOW OFTEN SIBLINGS SPEAK LANGUAGE TO R
BYS26H    63-63         HOW OFT SPEAKS LANG TO NEIGHBRHD FRIENDS
BYS26I    64-64         HOW OFTEN R SPEAKS LANG TO SCHL FRIENDS
BYS27A    65-65         HOW WELL R UNDERSTANDS SPOKEN ENGLISH
BYS27B    66-66         HOW WELL R SPEAKS ENGLISH
BYS27C    67-67         HOW WELL R READS ENGLISH
BYS27D    68-68         HOW WELL R WRITES ENGLISH
BYS28A1   69-69         MATH TAUGHT IN ENGLISH: 1ST 2YRS IN U.S.
BYS28A2   70-70         MATH TAUGHT IN OTH LANG:1ST 2YRS IN U.S.
BYS28A3   71-71         MATH NOT TAUGHT: 1ST 2 YRS IN U.S.
BYS28B1   72-72         SCIENCE TAUGHT IN ENG:1ST 2YRS IN U.S.
BYS28B2   73-73         SCIENCE TAUGHT OTH LANG:1ST 2YRS IN U.S.
BYS28B3   74-74         SCIENCE NOT TAUGHT: 1ST 2 YRS IN U.S.
BYS28C1   75-75         U.S. LIT TAUGHT IN ENG:1ST 2YRS IN U.S.
BYS28C2   76-76         U.S. LIT TAUGHT OTH LANG:1ST 2YRS U.S.
BYS28C3   77-77         U.S. LIT NOT TAUGHT: 1ST 2YRS IN U.S.
BYS28D1   78-78         U.S. HIS,GOV,S.S. TAUGHT IN ENG:1ST 2YRS
BYS28D2   79-79         U.S. HIS,GOV,S.S. IN OTHER LANG:1ST 2YRS
BYS28D3   80-80         U.S. HIS,GOV,S.S. NOT TAUGHT: 1ST 2YRS
BYS28E1   81-81         OWN LIT/LANG ARTS TAUGHT IN ENG:1ST 2YRS
BYS28E2   82-82         OWN LIT/LANG ARTS IN OTHER LANG:1ST 2YRS
BYS28E3   83-83         OWN LIT/LANG ARTS NOT TAUGHT: 1ST 2YRS
BYS28F1   84-84         OWN HIS,GOV,S.S. TAUGHT IN ENG:1ST 2YRS
BYS28F2   85-85         OWN HIS,GOV,S.S. IN OTHER LANG:1ST 2YRS
BYS28F3   86-86         OWN HIS,GOV,S.S. NOT TAUGHT:1ST 2YRS
BYS29     87-87         R EVER IN A LANGUAGE ASSISTANCE PROGRAM
BYS30A    88-88         ENROLLED IN LANG ASSISTANCE PGM 1ST GRD
BYS30B    89-89         ENROLLED IN LANG ASSISTANCE PGM 2ND GRD
BYS30C    90-90         ENROLLED IN LANG ASSISTANCE PGM 3RD GRD
BYS30D    91-91         ENROLLED IN LANG ASSISTANCE PGM 4TH GRD
BYS30E    92-92         ENROLLED IN LANG ASSISTANCE PGM 5TH GRD
BYS30F    93-93         ENROLLED IN LANG ASSISTANCE PGM 6TH GRD
BYS30G    94-94         ENROLLED IN LANG ASSISTANCE PGM 7TH GRD
BYS30H    95-95         ENROLLED IN LANG ASSISTANCE PGM 8TH GRD
BYS31A    96-96         R^S RACE/ETHNIC BACKGROUND
BYS31B    97-98         ASIAN OR PACIFIC ISLANDER SUBDIVISION
BYS31C    99-99         HISPANIC SUBDIVISION
BYS31D    100-100       HISPANIC RACE
BYS32     101-102       NUMBER OF SIBLINGS R HAS
BYS33     103-104       NUMBER OF SIBLINGS OLDER THAN R
BYS34A    105-106       FATHER^S HIGHEST LEVEL OF EDUCATION
BYS34B    107-108       MOTHER^S HIGHEST LEVEL OF EDUCATION
BYS35A    109-109       R^S FAMILY HAS SPECIFIC PLACE FOR STUDY
BYS35B    110-110       R^S FAMILY HAS A DAILY NEWSPAPER
BYS35C    111-111       R^S FAMILY HAS REGULARLY REC^D MAGAZINE
BYS35D    112-112       R^S FAMILY HAS AN ENCYCLOPEDIA
BYS35E    113-113       R^S FAMILY HAS AN ATLAS
BYS35F    114-114       R^S FAMILY HAS A DICTIONARY
BYS35G    115-115       R^S FAMILY HAS A TYPEWRITER
BYS35H    116-116       R^S FAMILY HAS A COMPUTER
BYS35I    117-117       R^S FAMILY HAS AN ELECTRIC DISHWASHER
BYS35J    118-118       R^S FAMILY HAS A CLOTHES DRYER
BYS35K    119-119       R^S FAMILY HAS A WASHING MACHINE
BYS35L    120-120       R^S FAMILY HAS A MICROWAVE OVEN
BYS35M    121-121       R^S FAMILY HAS MORE THAN 50 BOOKS
BYS35N    122-122       R^S FAMILY HAS A VCR
BYS35O    123-123       R^S FAMILY HAS A POCKET CALCULATOR
BYS35P    124-124       R HAS OWN BEDROOM
BYS36A    125-125       DISCUSS PROGRAMS AT SCHOOL WITH PARENTS
BYS36B    126-126       DISCUSS SCHOOL ACTIVITIES WITH PARENTS
BYS36C    127-127       DISCUSS THNGS STUDIED IN CLASS WTH PRNTS
BYS37A    128-128       R^S PARENTS ATTENDED A SCHOOL MEETING
BYS37B    129-129       R^S PARENTS SPOKE TO TEACHER/COUNSELOR
BYS37C    130-130       R^S PARENTS VISITED R^S CLASSES
BYS37D    131-131       R^S PARENTS ATTENDED A SCHOOL EVENT
BYS38A    132-132       HOW OFTEN PARENTS CHECK ON R^S HOMEWORK
BYS38B    133-133       HOW OFTEN PARENTS REQUIRE CHORES DONE
BYS38C    134-134       HOW OFTEN PARENTS LIMIT TIME WATCHING TV
BYS38D    135-135       HOW OFTN PRNTS LIMIT GOING OUT WTH FRNDS
BYS39A    136-136       PARENTS TRUST R TO DO WHAT THEY EXPECT
BYS39B    137-137       OFTEN DK WHY I AM TO DO WHAT PARENTS SAY
BYS39C    138-138       OFTEN COUNT ON PARENTS TO SOLVE PROBLEMS
BYS40A    139-139       MOTHER HOME WHEN R RETURNS FROM SCHOOL
BYS40B    140-140       FATHER HOME WHEN R RETURNS FROM SCHOOL
BYS40C    141-141       OTHR ADULT REL HOME WHN R RETRNS FRM SCH
BYS40D    142-142       A SITTER HOME WHEN R RETURNS FROM SCHOOL
BYS40E    143-143       ADULT NEIGHBR HOME WHN R RETRNS FRM SCHL
BYS40F    144-144       OLDER SIBLING HOME WHEN R RETRNS FR SCHL
BYS40G    145-145       YOUNGR SIBLING HOME WHN R RETRNS FR SCHL
BYS40H    146-146       NO ONE IS HOME WHEN R RETURNS FROM SCHL
BYS41     147-147       TIME SPENT AFTER SCHL WTH NO ADULT PRSNT
BYS42A    148-149       NO. OF HOURS R WATCHES TV ON WEEKDAYS
BYS42B    150-151       NO. OF HOURS R WATCHES TV ON WEEKENDS
BYS43     152-152       NO. OF CIGARETTES R SMOKES PER DAY
BYS44A    153-153       I FEEL GOOD ABOUT MYSELF
BYS44B    154-154       I DON^T HAVE ENOUGH CONTROL OVER MY LIFE
BYS44C    155-155       GOOD LUCK MORE IMPORTANT THAN HARD WORK
BYS44D    156-156       I^M A PERSON OF WORTH, EQUAL OF OTHERS
BYS44E    157-157       I AM ABLE TO DO THINGS AS WELL AS OTHERS
BYS44F    158-158       EVERY TIME I GET AHEAD SOMETHNG STOPS ME
BYS44G    159-159       PLANS HARDLY WORK OUT, MAKES ME UNHAPPY
BYS44H    160-160       ON THE WHOLE, I AM SATISFIED WITH MYSELF
BYS44I    161-161       I CERTAINLY FEEL USELESS AT TIMES
BYS44J    162-162       AT TIMES I THINK I AM NO GOOD AT ALL
BYS44K    163-163       WHEN I MAKE PLANS I CAN MAKE THEM WORK
BYS44L    164-164       I FEEL I DO NOT HAVE MUCH TO BE PROUD OF
BYS44M    165-165       CHANCE AND LUCK IMPORTANT IN MY LIFE
BYS45     166-167       HOW FAR IN SCH DO YOU THINK YOU WILL GET
BYS46     168-168       HOW SURE THAT YOU WILL GRADUATE FROM H.S
BYS47     169-169       HOW SURE R IS TO GO FURTHER THAN H.S.
BYS48A    170-171       HOW FAR IN SCHL R^S FATHER WANTS R TO GO
BYS48B    172-173       HOW FAR IN SCHL R^S MOTHER WANTS R TO GO
BYS49     174-175       WHICH PROGRAM R EXPECTS TO ENROLL IN H.S
BYS50A    176-176       TALK TO FATHER ABOUT PLANNING H.S. PROG
BYS50B    177-177       TALK TO MOTHER ABOUT PLANNING H.S. PROG
BYS50C    178-178       TALK TO COUNSLR ABOUT PLANNING H.S. PROG
BYS50D    179-179       TALK TO TEACHERS ABOUT PLANNNG H.S. PROG
BYS50E    180-180       TALK TO RELATVS ABOUT PLANNING H.S. PROG
BYS50F    181-181       TALK TO FRIENDS ABOUT PLANNING H.S. PROG
BYS51AA   182-182       TALK TO COUNSELOR ABOUT H.S. PROGRAMS
BYS51AB   183-183       TALK TO TEACHER ABOUT H.S. PROGRAMS
